LC NO.,LC 개설일,LC 만기일,LC 결제 금액,제조/판매,ORDER NO.,제지사,품명,평량,SHIPPER,BUYER,QUANTITY,MT,PRICE,AMOUNT,B/L,VESSEL,CTR NO.,CTR EA,환율,ETD,ETA,통관일,수입통관 발행일,수입통관 결제금액,결제일,발주서,계약서,선적서류,"통관서류
(선사 INVOICE)","통관서류
(면장,배차요청서)",원산지,월별 정리,비고,ETD TIMESTAMP,ETA TIMESTAMP,발주일,통관 완료
OFFER,,,,,CS-230101.,OPT,NCR,,OPT,청명전산,,,,,,,,,,3/18,3/23,,,,,,https://drive.google.com/file/d/1WV4B4T2TZKE0minj79BI5RH-hSROWOGS/view?usp=drive_link,https://drive.google.com/file/d/1Sm0vbVs0xk9jPVUmEDNO4yNvxDbOf7ad/view?usp=drive_link,,,,23년01월,,,3/5,2023/1/1,TRUE
M04FQ2301NU00107,1/10,5/22,,판,CS-230102.,APP,UWK,117,GOLD EAST,CHISAN,63,54.849Mt,$940.00,"$51,558.06",TLTCICBH04151001,BEI HAI0415E,DFSU3164594,4X20FT,"₩1,322.60",2/3,2/13,2/14,3/27,"₩6,578,450.0",5/22,,https://drive.google.com/file/d/1Jb0dzyYnQVn_d0IlyejuwkfWjTzgTEsC/view?usp=drive_link,https://drive.google.com/file/d/1UXnuH5q3VYQEWmzeAu-bgwgkwbYSGO0a/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
M04FQ2302NU00057,2/6,6/12,,제,CS-230103.,APP,COPY,75,OLEANDER,CHISAN,31,43.8Mt,$850.00,"$37,230.39",,WAN HAI 263,WHSU6315228,2X40FT,"₩1,365.00",3/6,3/30,3/31,4/21,"₩4,850,440.0",6/12,,https://drive.google.com/file/d/1xLyf78nF6mORCtu0Y82jGGi32J7zk1wo/view?usp=drive_link,https://drive.google.com/file/d/1lF7bJ_Lj7m36HpqwoKAWeS-Uug9lbVFb/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,제,CS-230104.,NPI,FORM BOND,80,NPI,CHISAN,51,63.58Mt,$945.00,"$60,083.10",KMTCIWK0024503,RELIANCE 2311W,BMOU5784191,3X40FT,,3/22,3/30,3/29,4/21,"₩8,020,710.0",3/28,,https://drive.google.com/file/d/1NuwMwKl8hx-9_XPfb2WWwl7hhMcot0PS/view?usp=drive_link,https://drive.google.com/file/d/1Jkvj3ozIctPmaIikzYlxiq6L5dkUn6ya/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,제,CS-230105.,AP,WF,STOCK,AP,CHISAN,24,20.526Mt,$750.00,"$15,394.50",COSU6351209050,ANL GIPPSLAND 064N,TRHU5961798,1X40FT,"₩1,360.00",2/8,3/14,3/20,4/21,"₩2,017,290.0",2/28,,https://drive.google.com/file/d/1g1B6j03vw4hgutLPC5_oFr-hv8A_lzHZ/view?usp=drive_link,https://drive.google.com/file/d/1qu89JxC_eBbZxF6cwkPxRYR3nEw-HUr8/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,판,CS-230106.,OPT,NCR,,OPT,CHISAN,76,45.252Mt,$1591.51,"$72,018.94",SNKO190230300079,SAWASDEE INCHEON 2303N,SKHU87038350,2X40FT,"₩1,369.00",3/19,3/29,3/31,4/21,"₩9,508,810.0",3/31,,https://drive.google.com/file/d/1xYoiq126PS-3xJor-yPww_6GB3aJMaks/view?usp=drive_link,https://drive.google.com/file/d/107f4DhnkL47CCuodeTx1G4v2vcVXZuHp/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,판,CS-230107.,OPT,NCR,,OPT,청솔특수지,40,22.595Mt,$1507.52,"$34,062.36",SNKO190230300082,HEUNG-A BANGKOK,FCIU8383312,1X40FT,,3/19,3/29,,,,,,https://drive.google.com/file/d/1lCaWZ-sEBdDBmgKMtFdUWovUtu8VFo-3/view?usp=drive_link,https://drive.google.com/file/d/1EnHfWr6M3oiSAwrSkqwHR6lux278jmCJ/view?usp=drive_link,,,,23년01월,,3/5,,2023/1/1,TRUE
M04FQ2301NU00139,1/18,5/31,,제,CS-230108.,CPC,KRAFT,50,MARUBENI,오즐 바이오,284,110.7Mt,$1000.00,"$110,700.00",KMTCSEN000562,SUNNY MAPLE 2311W,SEGU6588349,5X40FT,"₩1,238.50",2/21,2/25,3/7,3/27,"₩14,522,510.0",5/31,,https://drive.google.com/file/d/1PnEnxbUVYzkYgjT1t49gYfB1W8l_PmFO/view?usp=drive_link,https://drive.google.com/file/d/1DgXURBB30vXoX3EdMWfEQdIgdS7y5612/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,제,CS-230109.,NPI,FORM BOND,90,NPI,CHISAN,64,80.564Mt,$945.00,"$76,133.36",KMTCIWK0025473,RELIANCE 2310W,BEAU4923580,4X40FT,"₩1,378.00",3/16,3/25,3/31,4/21,"₩10,176,090.0",3/31,,https://drive.google.com/file/d/11kIPsF2G5VMQna981_wLVvJQA28KIjoM/view?usp=drive_link,https://drive.google.com/file/d/1bwOwibhT-T6PauuiTXC91bABrNocO4hI/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,판,CS-230110.,CPC,WF,95,TPPI,CHISAN,57,87.436Mt,$894.50,"$78,211.21",KMTCSEN0001608,SUNNY MAPLE 2317W,BMOU6254642,4X40FT,"₩1,363.00",3/21,3/28,4/3,4/21,"₩10,152,590.0",3/15,,https://drive.google.com/file/d/1RRSMGHWPjkZhoNmTWDbN8krzVzwrp_sB/view?usp=drive_link,https://drive.google.com/file/d/1l6KjDWOPbb61pxtBP6WBAFX8m9OOrKTE/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,제,CS-230111.,CPC,WF,64,TPPI,CHISAN,36,44.91Mt,$894.50,"$40,171.99",KMTCSEN0000609,SUNNY MAPLE 2317W,FCIU7228712,2X40FT,"₩1,363.00",3/21,3/28,4/3,4/21,"₩5,214,720.0",3/15,,https://drive.google.com/file/d/1OvkcfuOhxlrHH7UUmjxG_XesXrg4MC5T/view?usp=drive_link,https://drive.google.com/file/d/1d1GtLMSE66BjQXUCV71b5pRkzBiRbAu0/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
M04FQ2301NU00146,1/25,5/23,,판,CS-230112.,CHUNGHWA,WF,67,CHUNGHWA,CHISAN,81,44.545Mt,$920.00,"$40,981.40",YMLUI202559874,YM IMMENSE 354S,TCNU2184833,2X40FT,"₩1,312.70",2/19,2/23,2/23,3/27,"₩5,222,500.0",5/23,,https://drive.google.com/file/d/1-4Ir03wjZzEjykFOlJr29HH9KRuIlb3S/view?usp=drive_link,https://drive.google.com/file/d/1bLgX2KMB4AZyJomD75EjzDEGskD9_icg/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
M04FQ2302NU00025,2/1,6/14,,제,CS-230113.,APRIL,WF,70,GREENPOINT,CHISAN,96,105.943Mt,$910.00,"$96,408.13",091DA01819,WAN HAI 329,WHSU6186305,5X40FT,"₩1,378.00",3/10,3/19,3/21,4/21,"₩13,041,500.0",6/14,,https://drive.google.com/file/d/1g2tIE_WhihIQMmlgb94aZQ9RLGjXC53U/view?usp=drive_link,https://drive.google.com/file/d/1e2FUTUV0nFJuHbpG2qDXj9ztroQHqKHS/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
M04FQ2302NU00018,2/1,6/21,,제,CS-230114.,APRIL,COPY,75,GREENPOINT,CHISAN,32,42.673Mt,$920.00,"$39,259.16",091DA02233,WAN HAI 308 N009,TRHU4481182,2X40FT,"₩1,293.60",3/16,3/26,3/27,4/21,"₩5,280,520.0",6/21,,https://drive.google.com/file/d/1G83rs4t7lM0BarLMK6UJjMAFmhtEjDvz/view?usp=drive_link,https://drive.google.com/file/d/1vKCtoHiHNhRw32EceP9vp4BcCA__hVkd/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
M04FQ2302NU00032,2/2,6/20,,판,CS-230115.,UPM,COPY,70,UPM,OKPNC,126,48.132Mt,$930.00,"$44,762.76",SCGUINC9EA666,CONSISTENCE 527E,CBHU5962729,3X20FT,"₩1,285.00",3/14,3/15,3/16,3/27,"₩5,870,850.0",6/20,,https://drive.google.com/file/d/1jRzRfDVU1YWXn6VW-NA3pEHRcKzkNxTR/view?usp=drive_link,https://drive.google.com/file/d/16SurZhcyK5EMiZmqsXonPFCNsHJ2uODF/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
M04FQ2302NU00040,2/2,6/20,,제,CS-230116.,UPM,COPY,80,UPM,CHISAN,48,63.105Mt,$880.00,"$55,532.40",SCGUINC9EA665,CONSISTENCE 527E,CBHU4404234,5X20FT,"₩1,285.50",3/13,3/15,3/16,3/27,"₩7,290,180.0",6/20,,https://drive.google.com/file/d/1XASjrivyT9BFEPDgC7u5u8j9DZEKRbV6/view?usp=drive_link,https://drive.google.com/file/d/1YRNcuAdZsK8NyxwsdpU2fXs-bez58Euc/view?usp=drive_link,,,,23년01월,,,,2023/1/1,TRUE
,,,,판,CS-230201.,SNP,MGI,30,SNP,POSCO 1ST,186,89.766Mt,$1460.00,"$131,058.36",KMTCBKK3085070,KMTC OSAKA,BEAU4859769,4X40FT,"₩1,378.00",3/4,3/12,3/10,3/27,"₩17,193,280.0",3/10,,https://drive.google.com/file/d/15wYMx2anKtGCd9PHSQmva3C8b59Ix9Cv/view?usp=drive_link,https://drive.google.com/file/d/1ZiVTUWGaEN3Is62MAXGxmAx4akb4aqqD/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
,,,,판,CS-230202.,SNP,MGI,30,SNP,POSCO 2ND,34,21.242Mt,$1460.00,"$31,013.32",KMTCBKK3073985,KMTC OSAKA,FCIU7233494,1X40FT,"₩1,311.00",3/4,3/12,3/14,3/27,"₩4,056,410.0",3/14,,https://drive.google.com/file/d/18ZmotrwetgYMdTPzz8eSfjdsMbssn3Co/view?usp=drive_link,https://drive.google.com/file/d/15M9nKJeeNderuIrXa75esayCqKVUGP7-/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
,,,,제,CS-230203.,AP,KRAFT,STOCK,AP,CHISAN,65,41.052Mt,$800.00,"$32,841.60",COSU6352096100,OOCL CANADA 096N,TRHU4096340,2X40FT,"₩1,295.70",3/10,4/8,4/10,4/21,"₩4,303,950.0",3/31,,https://drive.google.com/file/d/1_PrGk4kPzb5BiPVTq9fCf8JGdEMyKjd0/view?usp=drive_link,https://drive.google.com/file/d/1-2vh-KjKTZ4RV5SLhDSrrhg-bHtzmr4L/view?usp=drive_link,,,,23년02월,,,,2/1,TRUE
